C.SH,JENS.S,SEN.S,SAVAD.S,M.T.S,V.F.S,N.T.M,T.O,S.Z,M.O.B,OTO,MO,DO,ZABT,TV,PC,TEL.H,OJAGH.GAZ,JAROO.B,M.LEBAS,CHARKH.KH,PANKE,M.ZARF,H.KHORAKI.NOOSHIDANI,H.ERTEBATAT,H.BEHDASHT,H.HAMLONAGHL,H.KALA.MOT,H.MASKAN,H.MOBLEMAN,H.POOSHAK,KHARID.KALA.BADAVAM,H.SARMAYEGOZARI,DARAMAD.KHALES
1,1,55,1,2,1,1,4,75,0,1,0,0,0,1,0,1,1,1,1,0,1,0,9670000,830000,4100000,450000,0,23190000,590000,9500000,650000,0,108750000
1,2,62,2,0,3,1,4,80,3,0,0,0,0,1,0,1,1,1,0,1,1,0,6140000,3500000,0,3830000,550000,15680000,0,0,3513283.333,0,4166666.667
1,1,41,1,4,1,4,4,85,3,1,0,0,1,1,0,1,1,1,1,1,1,0,63970000,650000,0,600000,1750000,9300000,2705000,14800000,8654583.333,0,54361666.67
1,1,65,1,5,1,1,5,110,0,1,0,0,0,1,0,1,1,1,1,0,1,0,16378900,350000,0,1000000,870000,21550000,8600000,0,3092712.667,0,31416666.67
1,1,61,1,6,3,1,4,90,3,0,0,0,0,1,0,1,1,1,1,0,1,0,24411000,990000,0,1600000,9500000,18250000,1050000,1380000,4730000,0,10003333.33
1,1,31,1,4,1,3,4,78,0,0,0,0,0,1,1,1,1,1,1,1,1,0,13340000,650000,770000,1850000,1500000,17290000,305000,17750000,35482250,0,43026666.67
1,1,63,1,4,3,1,4,80,0,0,0,0,0,1,0,1,1,1,1,0,0,0,7155000,350000,1100000,6600000,600000,7430000,1800000,0,30624916.67,0,43046666.67
1,2,77,2,0,3,1,4,95,3,0,0,0,0,1,0,0,1,1,1,0,1,0,7580000,3000000,1863000,4800000,750000,13220000,3470000,5250000,3717166.667,25000000,76925555.5
1,2,74,2,0,3,1,4,100,3,0,0,0,0,1,0,0,1,0,0,0,1,0,17006000,500000,1250000,1400000,2180000,12000000,1740000,10900000,17883666.67,0,123873504.2
1,2,73,2,0,3,6,3,65,3,0,0,0,0,1,0,1,1,1,0,0,0,0,9068000,1500000,0,1260000,70000,13900000,615000,8000000,21801666.67,0,67766666.67
1,2,38,1,2,3,6,3,70,3,0,0,0,0,1,0,1,1,1,0,0,1,0,18253900,1100000,400000,800000,2250000,14280000,0,0,70263.66667,0,38886666.67
1,1,48,1,3,1,1,3,60,0,0,0,0,0,1,0,1,1,1,0,1,1,0,34350000,430000,2400000,2300000,0,9775000,670000,15000000,17679166.67,5833333.333,1380000
1,1,56,2,0,1,1,4,75,0,0,0,0,0,1,0,1,0,1,0,1,1,0,15020000,700000,2050000,5000000,990000,9950000,290000,0,2074166.667,0,19178333.33
1,1,38,1,6,1,1,4,130,3,1,1,1,0,1,1,1,1,1,1,1,1,0,24089000,1100000,0,1900000,955000,12840000,1386000,0,5441408.333,0,8587500
1,1,33,1,4,1,1,4,100,0,0,1,0,1,1,0,1,1,1,1,1,1,0,11665000,575000,0,1200000,800000,10030000,870000,100000,23491666.67,0,50181666.67
1,1,24,1,4,1,1,2,40,3,0,0,0,0,1,0,1,1,0,0,0,1,0,15615000,1600000,0,1000000,1300000,6100000,5890000,0,17212833.33,0,2050000
1,1,47,1,1,1,1,4,80,0,1,0,0,0,1,0,1,1,1,1,0,1,0,20085000,200000,270000,1300000,1000000,12930000,1055000,0,10633333.33,0,65380000
1,1,55,1,1,3,1,4,90,0,0,1,0,0,1,0,1,1,1,0,0,1,0,27580000,970000,670000,2000000,1115000,19620000,185000,1700000,2141666.667,0,162316666.7
1,1,48,1,2,1,1,4,100,0,0,0,0,0,1,0,1,1,1,0,0,1,0,22061600,1500000,0,8000000,250000,18946000,1330000,1140000,847500,0,114208333.3
1,1,42,1,4,1,1,4,75,0,1,0,0,0,1,0,1,1,1,1,1,0,0,23502000,1250000,11100000,450000,1000000,21090000,1150000,0,487666.6667,0,62653333.33
1,1,37,1,4,1,4,4,70,0,1,0,0,0,1,0,1,1,1,1,1,1,0,14310000,2200000,180000,2700000,4400000,18135000,2008000,1000000,211930.3333,0,40880000
1,1,56,1,1,1,3,3,50,3,0,1,0,0,1,0,1,1,1,1,0,1,0,14490000,430000,2500000,900000,2550000,7870000,840000,0,35008333.33,0,120636667.3
1,1,65,1,1,3,1,4,76,3,1,0,0,0,1,0,1,1,1,1,1,1,0,11799500,650000,13705000,4800000,1970000,9610000,0,0,1133333.333,0,137778686.8
1,1,48,1,5,3,1,5,140,0,1,0,0,0,1,0,1,1,1,1,0,1,0,61171800,1200000,300000,1150000,2920000,28120000,270000,0,2516250,0,833333.3333
1,1,62,1,1,3,1,4,85,3,1,0,0,0,1,0,1,1,1,1,0,1,0,8260000,1200000,400000,2000000,340000,19720000,0,0,5592000,0,264216666.7
1,1,55,1,6,3,1,5,120,3,1,0,0,1,1,1,1,1,1,1,1,1,0,38513500,598000,0,4200000,340000,20130000,0,55500000,1005416.667,0,63291666.67
1,1,35,1,2,1,3,3,30,0,0,1,0,0,1,0,1,1,1,1,0,0,0,18500000,1600000,2000000,1200000,2195000,8890000,0,0,33192083.33,0,94780000
1,1,75,1,6,3,1,5,125,0,0,0,0,0,1,0,1,1,1,1,1,1,0,13316000,800000,0,5000000,0,20380000,1790000,11000000,9096500,0,38650800
1,1,58,1,4,1,1,4,85,0,1,0,0,0,1,0,1,1,1,1,1,1,0,25975000,510000,1590000,2640000,2660000,15550000,2060000,400000,3856250,0,75375000
1,1,64,1,4,3,1,4,95,0,0,0,0,0,1,0,1,1,1,1,1,1,0,22434900,4800000,0,580000,1270000,23530000,565000,400000,13825666.67,0,264950000
1,1,54,1,4,1,1,4,78,0,1,0,0,0,1,0,1,1,1,1,1,1,0,14781000,1070000,4010000,1500000,3940000,20370000,1550000,250000,62500,5233333.333,45983333.33
1,1,43,1,2,1,1,4,80,0,0,0,0,0,1,1,1,1,1,1,1,1,0,15883000,700000,0,1800000,1090000,22930000,900000,800000,504694,0,84151333.33
1,1,38,1,4,1,1,4,73,0,0,1,0,0,1,0,1,1,1,1,1,0,0,10510000,375000,450000,300000,550000,25205000,2250000,0,556666.6667,0,11040000
1,1,42,1,6,1,3,4,75,0,1,0,0,0,1,1,1,1,1,1,1,1,0,12970000,2100000,1500000,4200000,810000,20690000,1930000,350000,807666.6667,0,163946666.7
1,1,53,1,1,1,1,4,70,0,0,0,1,0,1,1,1,1,1,1,0,1,0,11095260,200000,0,1500000,1380000,10890000,1930000,3100000,4850460,0,58166666.67
1,2,34,1,2,3,1,3,55,0,0,0,0,0,1,0,1,1,1,1,1,1,0,4610000,900000,6200000,1000000,1810000,8250000,2080000,0,1860000,0,114583333.3
1,1,32,1,4,1,1,4,65,0,1,0,0,0,1,0,1,1,1,1,1,1,0,12987500,500000,15000000,2900000,2350000,16350000,1100000,1600000,4172500,0,16676388.83
1,1,74,2,0,3,1,4,75,0,0,0,0,0,1,0,1,1,1,1,1,1,0,8870000,180000,1440000,1500000,0,7200000,700000,42000000,1100416.667,5000000,45000000
1,1,74,2,0,3,1,3,60,3,0,1,0,0,1,0,1,1,1,1,1,1,0,8057360,2310000,1405000,1800000,600000,10840000,1700000,0,462245,0,68458333.33
1,1,50,1,4,1,1,3,77,3,1,0,1,1,1,1,1,1,1,1,1,1,0,9697500,450000,8600000,3000000,600000,13600000,850000,0,6037500,0,137283333.3
1,1,62,1,4,3,1,4,62,0,1,0,0,1,1,1,1,1,1,1,1,1,1,30130000,2050000,1800000,3000000,0,15300000,1314000,1800000,3000000,0,2295000
1,1,66,1,1,3,1,4,96,3,1,0,0,0,1,0,1,1,1,1,0,0,0,27198000,170000,2380000,3500000,1170000,23720000,2900000,480000,25779259.67,0,79716250
1,2,84,2,0,3,1,4,85,0,0,0,0,0,1,0,1,1,1,1,1,0,0,11900750,500000,14860000,1000000,150000,6500000,1440000,8200000,16538750,0,1380000
1,1,32,1,4,1,6,3,48,0,1,0,0,0,1,0,1,1,1,1,1,1,0,4865000,310000,300000,300000,1230000,12000000,1895000,0,1017083.333,2500000,59580000
1,1,61,1,7,3,1,4,75,0,0,1,0,1,1,0,1,1,1,1,1,1,0,27887000,400000,0,0,2880000,15800000,1370000,0,31663833.33,0,106250000
1,1,38,1,4,1,1,4,75,0,0,0,1,0,1,0,1,1,1,1,1,1,0,9120000,1600000,4500000,1600000,2070000,14750000,1020000,0,12275000,2500000,5866666.667
1,1,38,1,1,1,1,4,67,0,1,0,0,0,1,0,1,1,1,1,0,1,0,11493500,2500000,8800000,2200000,0,20972000,0,1000000,799000,0,79810000
1,1,31,1,4,1,4,3,45,0,0,0,0,0,1,0,1,1,1,1,0,0,0,19668950,500000,1760000,660000,1200000,27490000,1490000,0,43054166.17,3333333.333,28701666.67
1,1,28,1,7,1,1,4,80,0,1,0,0,0,1,0,1,1,1,1,1,1,0,10000000,3500000,2990000,10000000,550000,18200000,2430000,0,200000,0,833333.3333
1,2,73,2,0,3,1,5,95,0,0,0,0,0,1,0,1,1,1,1,1,1,0,3850000,2050000,800000,3340000,3000000,25280000,500000,0,9891666.667,0,1428333.333
1,1,55,1,2,3,1,4,90,0,1,0,0,0,1,0,1,1,1,1,1,1,1,15775000,1040000,0,500000,1190000,26750000,1740000,350000,5805000,0,129026666.7
1,1,60,1,4,3,1,4,90,3,0,1,0,0,1,0,1,1,1,1,0,0,0,29230000,247000,4800000,1100000,420000,27930000,3000000,5055000,8926380.75,0,81495000
1,1,35,1,4,1,1,4,68,0,0,0,0,0,1,0,1,1,0,0,1,1,0,21380000,1025000,8700000,5500000,600000,23950000,1970000,1600000,991666.6667,0,1980000
1,1,47,1,6,1,1,4,85,0,0,0,0,0,1,1,1,1,1,1,1,1,0,19935000,450000,1880000,1900000,480000,27180000,700000,800000,175000,0,3880000
1,1,68,1,4,1,1,4,80,0,1,0,0,0,1,0,1,1,1,1,1,1,0,10358000,730000,21550000,2000000,1200000,27580000,775000,0,208333.3333,0,23700000
1,1,62,1,4,3,1,5,108,0,0,1,0,0,1,0,1,1,1,1,1,1,0,15052000,450000,300000,2850000,850000,14790000,1470000,0,37950000,0,101700000
1,1,58,1,5,3,1,4,92,0,1,0,0,0,1,0,1,1,1,1,1,1,1,7030000,2300000,280000,2300000,1950000,18730000,380000,0,9669164.667,0,1030000
1,1,46,1,1,1,1,4,78,0,0,1,0,0,1,0,1,1,1,1,0,1,0,26885000,250000,0,1200000,300000,23945000,830000,3050000,310731.3333,0,31580000
1,1,68,1,5,3,1,4,90,3,1,0,0,0,1,0,1,1,1,1,0,1,0,15004000,780000,0,3000000,2300000,20210000,610000,0,6678000,0,34166666.67
1,1,76,2,0,3,1,4,89,0,0,0,0,0,1,0,1,1,0,0,0,1,0,11606600,270000,0,1330000,3300000,15000000,1300000,7150000,130000,0,100546666.7
1,1,36,1,2,1,3,4,80,0,1,0,0,0,1,0,1,1,1,1,1,0,0,8857820,900000,885000,4300000,740000,18775000,1000000,6170000,6478333.333,0,68650000
1,1,46,1,4,1,3,4,60,0,0,0,0,0,1,0,1,1,1,1,0,0,0,27050000,7300000,1000000,900000,2875000,13920000,1440000,350000,515000,0,40386667.33
1,1,52,1,1,1,1,3,68,3,0,0,0,0,1,0,1,1,0,1,0,1,0,11764000,1000000,1100000,44000000,1950000,12890000,1640000,300000,175000,0,30300000
1,1,45,1,2,3,1,4,65,0,0,0,0,0,1,0,1,1,1,1,0,1,0,20806200,700000,0,400000,300000,13900000,3030000,27500000,43310000.17,0,80700000
